x,y,z,tiji,biaomianji
2.16,2.077,2.001,1.382733936,19.34027985
1.726,1.71,2.257,0.666817377,11.6784325
1.909,2.236,2.278,1.771384097,21.00373473
1.746,1.802,2.032,0.657787123,12.14342841
1.953,2.007,1.803,1.067359681,15.44393292
1.312,1.377,1.33,0.283750816,5.488136812
2.139,1.953,1.526,0.787441877,12.87663783
1.921,2.09,2.375,1.558484416,22.18763923
2.002,1.72,1.923,1.220259432,16.22342619
1.088,1.288,1.61,0.230318546,4.880071995
1.595,1.389,1.551,0.585395625,8.177775833
1.928,1.737,1.881,1.173729801,16.4796923
1.781,1.359,1.618,0.510758524,9.445997402
1.664,2.319,1.909,1.218639409,17.29952497
2.036,2.109,2.346,1.27921141,18.65183439
1.038,1.404,1.906,0.251333491,5.562829888
1.355,1.174,1.71,0.409548149,7.090733534
2.256,1.48,2.115,1.106633757,14.23669378
1.789,1.278,1.565,0.423591941,7.382368598
1.528,1.909,1.78,0.694262054,11.92080471
2.026,2.173,2.1,1.328502441,17.40601542
0.981,1.363,1.471,0.298448068,5.475299166
1.349,0.974,1.045,0.310029298,5.129276181
1.38,1.501,1.833,0.49557182,8.076500386
1.505,2.094,2.03,0.920947249,14.58878874
1.951,1.722,1.886,0.881129609,13.83077589
1.352,1.191,1.687,0.386898458,6.949108568
2.279,1.84,1.994,0.915471409,11.7567323
2.209,2.422,2.616,1.845211732,26.67358912
1.787,1.871,2.048,0.810515849,12.43989003
1.616,1.812,1.874,0.678676587,10.72962237
1.931,1.937,1.992,0.973045673,13.27049271
1.893,2.025,2.217,1.133342275,18.28865473
2.191,1.96,2.583,1.883287171,23.92610152
1.493,1.394,1.835,0.419274137,7.966756855
2.136,1.93,1.904,1.256208227,18.89041442
1.702,2.142,2.224,1.44657483,21.42841681
1.427,2.122,2.037,0.83590568,14.17208637
2.222,2.325,2.537,2.458214647,32.87811624
2.035,1.839,2.067,0.854581497,15.02933424
2.005,1.895,2.232,1.365351921,20.27751757
1.565,2.021,2.314,1.133582987,18.00535935
1.801,1.701,2.289,1.282722911,17.92184389
1.51,1.766,1.886,0.746482983,12.2637371
1.743,1.834,1.79,1.044076696,14.63701392
1.994,2.164,2.309,1.737277716,21.78480054
2.565,2.241,2.281,1.920118211,23.2095891
1.606,1.264,1.787,0.429404069,8.131155638
1.672,1.69,1.938,0.77456627,12.68988324
2.213,1.979,2.136,1.477222326,20.52491095
2.005,2.211,2.368,1.316142777,17.74349612
1.774,1.859,1.781,0.653653283,11.42930418
2.498,2.019,2.24,1.825796124,24.86869407
1.963,0.632,1.146,0.065519315,2.064614458
2.311,2.354,1.932,1.606708864,30.88921991
2.486,2.068,1.818,1.6371599,26.36857171
0.752,0.742,1.208,0.064379057,2.117395201
1.126,1.141,1.388,0.206624672,5.084640256
1.084,1.052,1.326,0.146643173,3.731431246
1.295,1.033,1.447,0.198691652,5.287795085
1.047,0.935,1.215,0.124861684,2.772965445
0.967,0.95,1.08,0.09459228,2.735626742
0.85,0.95,1.331,0.080130811,2.52061969
0.795,0.755,0.94,0.044669077,1.832307067
0.858,0.787,0.962,0.058599407,1.924181751
1.294,1.34,1.414,0.240482702,6.263149859
0.792,0.824,1.063,0.058609662,2.157691877
0.705,0.792,1.107,0.067776623,2.253335452
1.003,1.118,1.093,0.092976538,3.163290165
0.686,0.582,1.022,0.041754977,1.432132534
0.715,0.883,0.897,0.050753378,1.652760401
1.278,0.794,1.119,0.083806181,2.843063132
2.25,2.191,1.997,1.607901145,29.02934517
2.332,2.134,2.001,1.476873557,31.21356
2.439,2.114,1.943,1.877160179,34.52548982
2.481,2.297,2.031,1.799102035,31.98027149
2.46,2.47,2.422,1.394067211,24.44121756
4.45,3.876,2.933,10.5899672,148.7711068
3.629,4.288,2.421,7.575132175,110.6861604
2.114,1.914,2.029,1.830684659,29.37895247
3.341,3.357,2.188,5.178621592,75.4165276
3.68,3.848,2.488,7.887262937,101.8995933
4.615,4.244,2.824,12.22636724,152.5918731
4.478,4.184,3.267,14.31997873,194.761268
4.065,3.495,2.802,7.778983753,112.7626248
4.522,4.094,2.61,8.485917229,141.6161764
4.116,4.596,2.609,9.277819853,137.8343375
3.892,4.847,3.344,12.77676085,176.5261098
3.314,3.743,2.288,5.968901836,76.5788834
4.287,4.036,2.896,12.50441919,132.2487522
3.767,5.052,2.863,12.72343547,157.3592558
4.001,4.68,2.865,11.30201449,153.4199043
4.271,4.273,2.611,10.88900512,146.783607
1.667,1.721,1.283,0.937466961,12.23687983
4.119,3.715,2.937,8.918375386,135.0364046
2.304,2.267,1.784,2.8247441,44.38094908
1.219,1.294,1.244,0.246309914,5.641227981
2.412,2.92,2.281,2.949606346,47.11118008
4.463,4.117,2.752,9.965596641,110.2275419
2.631,2.889,2.386,5.278034003,64.90665462
